Jahrgangsstufe,Kapitel,Unterkapitel,Aufgabe,Beschreibung,AFB,Minimalfahrplan,Kompetenz
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,1,,AFB_I,Ja,K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,2,,AFB_I,,K1 K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,3,,AFB_I,Ja,K4 K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,4,,AFB_I,Ja,K4 K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,5,,AFB_I,,K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,6,,AFB_I,Ja,K2 K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,7,,AFB_I,Ja,K2 K3 K6
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,8,,AFB_I,,K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,9,Teste dich,AFB_II,Ja,K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,10,Teste dich,AFB_II,Ja,K2 K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,11,,AFB_II,,K3 K4
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,12,,AFB_II,,K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,13,,AFB_II,Ja,K2 K3
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,14,,AFB_II,Ja,K1 K4
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,15,,AFB_II,,K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,16,,AFB_II,Ja,K3 K4
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,17,,AFB_II,Ja,K2 K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,18,Teste dich,AFB_II,Ja,K2 K5
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,19,Teste dich,AFB_II,Ja,K2 K3
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,20,,AFB_III,Ja,K2 K3
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,21,,AFB_III,,K4 K6
6,1 - Brüche und Dezimalbrüche,1.1 - Bruchteile und Anteile,22,Grundwissen,AFB_II,,K5
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,1,,AFB_I,,K5
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,2,,AFB_I,Ja,K5
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,3,,AFB_I,Ja,K5
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,4,,AFB_I,,K4 K5
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,5,,AFB_I,Ja,K2 K4
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,6,,AFB_I,,K5
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,7,,AFB_I,,K4 K5
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,8,Teste dich,AFB_II,Ja,K4
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,9,Teste dich,AFB_II,Ja,K5
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,10,,AFB_II,,K3 K4 K6
6,1 - Brüche und Dezimalbrüche,1.2 - Kürzen und Erweitern,11,,AFB_II,Ja,K2
